Municípios,Densidade Empresarial,Renda,Educação,Valores Solidários - programas e ações,Tecido Social,Tecido Empresarial,Articulação,Gestão Pública,Participação e Controle Social,Vantagens Locais,Organização Produtiva,Comércio Internacional
São Carlos,0.331513792,0.736331288,0.885544601,1,0.0134983,0.00040032,0,0.761838578,0.42047619,0.467438824,0.571465363,0.166383282
São Francisco,0.285779701,0.614892214,0.792700533,0.285714286,0.0000352,0,0.083333333,0.474661606,0.439206349,0.349395596,0.468600904,0.06779201
São João da Boa Vista,0.33280289,0.719889217,0.857809764,0,0.008572769,0.004603683,0.083333333,0.565026113,0.530634921,0.439458376,0.520127211,0.123549194
São João das Duas Pontes,0.271543652,0.584131303,0.799541987,0,0.0000117,0,0,0.385538532,0.503174603,0.366475373,0.445096816,0.06779201
São João de Iracema,0.417179449,0.577880851,0.84080688,0.285714286,0,0,0.166666667,0.727725755,0.328174603,0.402753531,0.407382118,0.06779201
São João do Pau d'Alho,0.49419127,0.64290743,0.814318713,0,0.0000235,0,0,0.179649874,0.262142857,0.363224089,0.441253679,0.06779201
São Joaquim da Barra,0.269466808,0.664694363,0.818573467,0,0.002263399,0.001200961,0.083333333,0.755188621,0.440952381,0.414361609,0.454952698,0.124035055
São José da Bela Vista,0.193341412,0.566882929,0.710858758,0,0.0000352,0,0,0.2,0.312142857,0.339834229,0.455333894,0.06779201
São José do Barreiro,0.332557582,0.459229649,0.733300141,0,0.0000469,0,0,0.446368389,0.301428571,0.265206195,0.303874675,0.06779201
São José do Rio Pardo,0.35957764,0.651930793,0.829088327,0,0.003330597,0.002401922,0.083333333,0.653423871,0.559047619,0.403652917,0.501667438,0.096897384
São José do Rio Preto,0.35393947,0.764453205,0.869055129,0.428571429,0.033259059,0.006605284,0,0.708966537,0.659444444,0.451658407,0.596281559,0.182507765
São José dos Campos,0.242370442,0.756307946,0.882771496,0.714285714,0.03242641,0.010008006,0.166666667,0.741949593,0.597539683,0.406224789,0.648222665,0.364880142
São Lourenço da Serra,0.253078443,0.5905878,0.808449679,0,0.0000117,0,0.083333333,0.187337111,0.325238095,0.27606768,0.387933738,0.06779201
São Luiz do Paraitinga,0.473835987,0.568663184,0.730260481,0.571428571,0.000316641,0,0.166666667,0.736590346,0.239206349,0.301450069,0.479327724,0.06779201
São Manuel,0.289438569,0.652010458,0.809022754,0.285714286,0.001442477,0.00060048,0.083333333,0.668449326,0.378888889,0.399554133,0.471118649,0.06779201
São Miguel Arcanjo,0.262414551,0.57368377,0.754041356,0.285714286,0.000457371,0.001401121,0,0.694742498,0.520952381,0.284945111,0.492050913,0.06779201
São Paulo,0.343970553,0.837395258,0.836373901,1,1,1,0,0.76595122,0.772619048,0.678110531,0.999176182,0.892034551
São Pedro,0.346347659,0.655499143,0.798894479,0,0.001911575,0,0,0.957536701,0.390238095,0.407454634,0.490922838,0.06779201
São Pedro do Turvo,0.634742248,0.554664122,0.769655303,0.571428571,0.000281459,0,0,0.569291664,0.433174603,0.317324827,0.451738201,0.06779201
